# SE 2.10.03 delta-T parity grid; generated by tools/gen_deltat_parity.py (see header there)
# columns: jd_ut, dt_swieph_sec, dt_jpleph_sec
2378131.49,19.333927753,19.032747875
2378131.50,19.333916300,19.032736527
2378141.50,19.322452082,19.021378020
2378151.50,19.310965704,19.009997332
2378161.50,19.299457151,18.998594451
2378171.50,19.287926411,18.987169365
2378181.50,19.276373472,18.975722061
2378191.50,19.264798320,18.964252525
2378201.50,19.253200943,18.952760747
2378211.50,19.241581328,18.941246711
2378221.50,19.229939463,18.929710407
2378231.50,19.218275334,18.918151821
2378241.50,19.206588929,18.906570940
2378251.50,19.194880236,18.894967751
2378261.50,19.183149240,18.883342243
2378271.50,19.171395931,18.871694402
2378281.50,19.159620295,18.860024215
2378291.50,19.147822319,18.848331670
2378301.50,19.136001990,18.836616755
2378311.50,19.124159297,18.824879455
2378321.50,19.112294225,18.813119759
2378331.50,19.100406763,18.801337653
2378341.50,19.088496897,18.789533126
2378351.50,19.076564616,18.777706164
2378361.50,19.064609905,18.765856755
2378371.50,19.052632753,18.753984885
2378381.50,19.040633147,18.742090543
2378391.50,19.028611073,18.730173715
2378401.50,19.016566520,18.718234389
2378411.50,19.004499474,18.706272551
2378421.50,18.992409923,18.694288190
2378431.50,18.980297854,18.682281293
2378441.50,18.968163254,18.670251846
2378451.50,18.956006111,18.658199837
2378461.50,18.943826412,18.646125253
2378471.50,18.931624143,18.634028082
2378481.50,18.919399293,18.621908310
2378491.50,18.907151849,18.609765926
2378496.49,18.901031920,18.603698415
2378496.50,18.902019650,18.604686250
2378501.50,18.895881482,18.598600600
2378511.50,18.883588337,18.586412479
2378521.50,18.871273039,18.574202185
2378531.50,18.858935896,18.561970028
2378541.50,18.846577217,18.549716316
2378551.50,18.834197311,18.537441359
2378561.50,18.821796487,18.525145464
2378571.50,18.809375053,18.512828942
2378581.50,18.796933319,18.500492101
2378591.50,18.784471592,18.488135249
2378601.50,18.771990183,18.475758695
2378611.50,18.759489399,18.463362749
2378621.50,18.746969550,18.450947719
2378631.50,18.734430945,18.438513913
2378641.50,18.721873891,18.426061642
2378651.50,18.709298699,18.413591213
2378661.50,18.696705677,18.401102935
2378671.50,18.684095133,18.388597118
2378681.50,18.671467378,18.376074069
